iter	Logloss
194	0.4262599748
195	0.4257381539
196	0.4251825065
197	0.4243808668
198	0.4240416766
199	0.4233349006
200	0.4228543274
201	0.4220345224
202	0.4215995263
203	0.4209493621
204	0.4202705398
205	0.4196070943
206	0.419086093
207	0.4186380294
208	0.4180912992
209	0.4174687948
210	0.4168964378
211	0.4163181902
212	0.4156047509
213	0.4149787498
214	0.4143925894
215	0.4138924556
216	0.4132444012
217	0.4125316609
218	0.411936871
219	0.4114053036
220	0.4107828667
221	0.4104124343
222	0.4097404871
223	0.4092712468
224	0.4088362182
225	0.4082682814
226	0.4076785571
227	0.4071900597
228	0.4066603491
229	0.4062009642
230	0.4058274492
231	0.4052732492
232	0.4046316002
233	0.404079972
234	0.4035533314
235	0.4029537659
236	0.4025137977
237	0.4020005412
238	0.4014438579
239	0.4009800764
240	0.4003367949
241	0.3998255168
242	0.3994779176
243	0.3988991508
244	0.3984629293
245	0.3980091209
246	0.3976131697
247	0.3970605544
248	0.396585186
249	0.3960653264
250	0.3956097378
251	0.3951693192
252	0.3946932904
253	0.3942693697
254	0.393783328
255	0.3933002683
256	0.3928216551
257	0.392400948
258	0.3920478996
259	0.3916930893
260	0.3911703711
261	0.3906420393
262	0.390236508
263	0.3898505425
264	0.3894191911
265	0.3890155821
266	0.3886231569
267	0.3884721721
268	0.3880535107
269	0.3875994662
270	0.387207163
271	0.3869064812
272	0.3864822142
273	0.3861630557
274	0.3855961641
275	0.3852407832
276	0.3847902729
277	0.3844258221
278	0.3840173762
279	0.3836218865
280	0.3831903328
281	0.3829216605
282	0.3825350065
283	0.3821075382
284	0.3817026613
285	0.3813064034
286	0.3808372607
287	0.3804334239
288	0.3800964044
289	0.3797520484
290	0.379406103
291	0.3790719443
292	0.3787121162
293	0.3783403463
294	0.3778617468
295	0.3775140781
296	0.3771567331
297	0.3767866859
298	0.3765015186
299	0.3761947231
300	0.3758845513
301	0.3755746891
302	0.3752394332
303	0.3749305395
304	0.3746299087
305	0.3743519015
306	0.3740239556
307	0.3735345173
308	0.3731504846
309	0.372850692
310	0.3725280316
311	0.3721260369
312	0.3717615109
313	0.3714429209
314	0.371109037
315	0.3708236177
316	0.370599591
317	0.3702622751
318	0.3698980081
319	0.3696633705
320	0.3693255348
321	0.3690598683
322	0.368652684
323	0.3683461808
324	0.3678943921
325	0.3676482186
326	0.3673174565
327	0.3670965601
328	0.3666814936
329	0.366426417
330	0.3662296984
331	0.3660124475
332	0.365689125
333	0.3654618088
334	0.3651529081
335	0.3647706703
336	0.3645026251
337	0.3642237164
338	0.3639302053
339	0.3635120562
340	0.3632936059
341	0.3629768559
342	0.3626465487
343	0.3622901141
344	0.3620111728
345	0.3617516374
346	0.3616263649
347	0.3612744389
348	0.3610487006
349	0.3609848388
350	0.3607264467
351	0.3604803022
352	0.360190897
353	0.3599279776
354	0.3596138293
355	0.3593970746
356	0.3590379985
357	0.3587297815
358	0.3584143501
359	0.3580706869
360	0.3577763882
361	0.3574349464
362	0.3570784432
363	0.3568253007
364	0.3565368406
365	0.3564322857
366	0.3561554796
367	0.3558441294
368	0.3556972018
369	0.3554090839
370	0.3550941033
371	0.3546799723
372	0.354524183
373	0.3542905068
374	0.3540231827
375	0.3538113745
376	0.3535503295
377	0.3532775424
378	0.3530280745
379	0.3527851913
380	0.3525490927
381	0.3522282897
382	0.3519228565
383	0.351682268
384	0.3513985996
385	0.3511717645
386	0.3509356763
387	0.3507105037
388	0.3505073514
389	0.3502378923
390	0.3499858328
391	0.3496674905
392	0.3494096269
393	0.3492369247
394	0.3490009869
395	0.3487010562
396	0.3483863635
397	0.3481253389
398	0.34795577
399	0.3477156446
400	0.3474707378
401	0.3472606776
402	0.3470526272
403	0.3467776104
404	0.3465814881
405	0.3462945233
406	0.3460192852
407	0.3457394689
408	0.3455423501
409	0.3453087439
410	0.3450419266
411	0.3447795317
412	0.3445673081
413	0.3443604039
414	0.3441289641
415	0.3438697476
416	0.3436929342
417	0.3434705794
418	0.3432077074
419	0.3430310758
420	0.3429312086
421	0.3426575383
422	0.3424158235
423	0.342166365
424	0.3419288447
425	0.341611852
426	0.3413810807
427	0.3411920977
428	0.3410217833
429	0.3408039875
430	0.3406405146
431	0.3404571804
432	0.3402817208
433	0.3400208849
434	0.3397849867
435	0.3396300782
436	0.3394802492
437	0.3392076195
438	0.3389385892
439	0.3387452564
440	0.3385651465
441	0.3383403313
442	0.3382051266
443	0.3379616719
444	0.3377279089
445	0.3375539029
446	0.3374066012
447	0.3371780294
448	0.33697526
449	0.3367263238
450	0.3364897065
451	0.3363030008
452	0.3361373922
453	0.3360416806
454	0.3358364787
455	0.3355872977
456	0.3353667163
457	0.3351229521
458	0.334930465
459	0.3347376367
460	0.3345645268
461	0.3343851695
462	0.3341977191
463	0.333921702
464	0.3336754186
465	0.333466288
466	0.3333600407
467	0.3331042603
468	0.3329849839
469	0.3328010271
470	0.3326568931
471	0.3324659217
472	0.3323229288
473	0.332078455
474	0.331916987
475	0.3318258683
476	0.3315924285
477	0.3314006858
478	0.331289324
479	0.3310902219
480	0.33089177
481	0.3306996608
482	0.3305082999
483	0.3303013124
484	0.3301719165
485	0.3299850432
486	0.3297682803
487	0.3295357171
488	0.3293480015
489	0.3291737411
490	0.3290332157
491	0.328848713
492	0.3287141699
493	0.3285558879
494	0.3283136156
495	0.3281605679
496	0.3279019425
497	0.3276488185
498	0.3274299167
499	0.3272553761
500	0.3271098416
501	0.3270053056
502	0.3268430979
503	0.3266472778
504	0.3264934047
505	0.3263095452
506	0.3261816581
507	0.3260351913
508	0.3258768245
509	0.3256545184
510	0.3255742239
511	0.3253441106
512	0.3251321847
513	0.3249644934
514	0.3247561862
515	0.3246586189
516	0.3244857228
517	0.3244106251
518	0.3242628559
519	0.324086853
520	0.3239942624
521	0.3238172029
522	0.3235471138
523	0.3233323053
524	0.3231770649
525	0.323118004
526	0.3229571232
527	0.3228676107
528	0.3226986868
529	0.3225642833
530	0.3224332237
531	0.322237544
532	0.3220824108
533	0.3218815514
534	0.3217609252
535	0.3215357877
536	0.3214164198
537	0.3212083563
538	0.3210661305
539	0.3208749756
540	0.3207626017
541	0.3206080715
542	0.3205044817
543	0.3204004824
544	0.3202630543
545	0.3200369695
546	0.3198793497
547	0.319766867
548	0.3196095402
549	0.3195066271
550	0.3193816828
551	0.3191891306
552	0.3190846779
553	0.3189637613
554	0.3188577936
555	0.3187389414
556	0.3185686931
557	0.318403991
558	0.3182114792
559	0.3181185079
560	0.3180344347
561	0.3178538012
562	0.3177124719
563	0.3176094429
564	0.3173904093
565	0.3171764144
566	0.3170576885
567	0.3169366023
568	0.3167878782
569	0.3165845154
570	0.3164493917
571	0.3163328565
572	0.3162222934
573	0.3161230558
574	0.3159984609
575	0.3158801256
576	0.3157559278
577	0.3155780499
578	0.315464684
579	0.3152316433
580	0.3150835469
581	0.3149263407
582	0.3147345783
583	0.3146365996
584	0.3144823275
585	0.3143197138
586	0.3141276087
587	0.3140351068
588	0.313894269
589	0.3137945324
590	0.313761307
591	0.3135580712
592	0.3133985763
593	0.3133119816
594	0.3131773799
595	0.3131002907
596	0.3129460875
597	0.3128470988
598	0.3126697884
599	0.3125269908
600	0.3123937259
601	0.3123693824
602	0.312269153
603	0.3121575592
604	0.3119543037
605	0.3117858759
606	0.3116127159
607	0.3114728919
608	0.3112919558
609	0.3110963142
610	0.3109536188
611	0.3107932299
612	0.3106371525
613	0.3105218001
614	0.3104867772
615	0.3103580317
616	0.3102387719
617	0.3100769843
618	0.309955563
619	0.3097736627
620	0.3096903394
621	0.3096097507
622	0.3094717112
623	0.3092649682
624	0.3091323905
625	0.309046459
626	0.3088760131
627	0.3087110365
628	0.3085487511
629	0.3083499358
630	0.3082490776
631	0.3080568352
632	0.3079625758
633	0.3078616126
634	0.3077765569
635	0.3076028819
636	0.3074628069
637	0.307289768
638	0.3071324031
639	0.3070333651
640	0.3068372878
641	0.3067622464
642	0.306632301
643	0.306493914
644	0.3063637434
645	0.3062344492
646	0.3061386891
647	0.3059870388
648	0.3058473402
649	0.3057403717
650	0.3056016896
651	0.3054730875
652	0.3053389267
653	0.3051456638
654	0.305034062
655	0.3048718086
656	0.3048009634
657	0.3047532014
658	0.3045707606
659	0.3044679813
660	0.3043401515
661	0.3041490581
662	0.3039886341
663	0.3037819498
664	0.3036595479
665	0.3035826891
666	0.3035362945
667	0.3034398318
668	0.3032971264
669	0.303212526
670	0.3031022895
671	0.3029495081
672	0.3028190193
673	0.3026716104
674	0.3025002486
675	0.3023778764
676	0.3021959467
677	0.3020913554
678	0.3019245671
679	0.3018255706
680	0.301706916
681	0.3016041534
682	0.30149795
683	0.3013674404
684	0.3012498977
685	0.3011222429
686	0.3010120308
687	0.3009200449
688	0.3008290618
689	0.3006654744
690	0.3005732972
691	0.3005071113
692	0.3003551299
693	0.3001946589
694	0.3001053812
695	0.2999623439
696	0.2998447701
697	0.2997234948
698	0.299660371
699	0.2995018574
700	0.2993478263
701	0.2992213693
702	0.299067548
703	0.2989568667
704	0.2988039535
705	0.2986995485
706	0.2985057992
707	0.298411607
708	0.2983208569
709	0.2981989577
710	0.2981273295
711	0.29796845
712	0.2978138017
713	0.297701008
714	0.2976104108
715	0.2975565555
716	0.2974603804
717	0.2973645656
718	0.2973460842
719	0.2972205244
720	0.2971668826
721	0.2970343721
722	0.2968630995
723	0.2967304988
724	0.2965511501
725	0.2964545926
726	0.2963324416
727	0.2962001635
728	0.2961211096
729	0.2959492755
730	0.2958731629
731	0.2957158525
732	0.2955781771
733	0.2954660849
734	0.2953446234
735	0.2952480162
736	0.2951709458
737	0.2950681545
738	0.2949451348
739	0.2948038264
740	0.294690365
741	0.294589221
742	0.2944399354
743	0.2944028857
744	0.2943564246
745	0.2942433721
746	0.294162442
747	0.2940397079
748	0.2940068491
749	0.2939447212
750	0.293841207
751	0.2937606231
752	0.2936378034
753	0.2934950198
754	0.2933626957
755	0.2932499346
756	0.2932230106
757	0.2931479489
758	0.2930363133
759	0.2929168966
760	0.2928215052
761	0.2926487795
762	0.2924670737
763	0.292356203
764	0.292271617
765	0.2921133643
766	0.292051399
767	0.2919663692
768	0.2918437526
769	0.2917488533
770	0.2916172008
771	0.2914972007
772	0.2914389842
773	0.291304518
774	0.2912360393
775	0.2911203691
776	0.290993395
777	0.2909208307
778	0.2908344982
779	0.2906783177
780	0.2905390258
781	0.2904161754
782	0.2903665353
783	0.2902988985
784	0.2901905819
785	0.2900260914
786	0.2899420006
787	0.2898629145
788	0.2897061788
789	0.2896167702
790	0.2895126134
791	0.2893847838
792	0.2892994238
793	0.2892228134
794	0.2891636152
795	0.2891041425
796	0.289015826
797	0.288931574
798	0.288851882
799	0.2887869454
800	0.2886284815
801	0.2885371317
802	0.2884601116
803	0.2883726473
804	0.2882853575
805	0.2881869684
806	0.2880585897
807	0.2880318109
808	0.2878596613
809	0.2877941278
810	0.2876947371
811	0.2876259752
812	0.287491305
813	0.2873704424
814	0.2872441318
815	0.2871455944
816	0.287011844
817	0.286972777
818	0.286860438
819	0.2867707715
820	0.2866704581
821	0.286607793
822	0.2865621535
823	0.2864934788
824	0.2864147291
825	0.2863587797
826	0.2863163007
827	0.2862377293
828	0.2861263874
829	0.2860583399
830	0.2860050627
831	0.285931713
832	0.2858460263
833	0.2857644241
834	0.2856528049
835	0.2855740536
836	0.2854961905
837	0.2854247782
838	0.2853520638
839	0.2852790813
840	0.285220547
841	0.2851416042
842	0.2850199228
843	0.2849222783
844	0.2847715322
845	0.2847139206
846	0.2846289028
847	0.2845532522
848	0.2844519552
849	0.2843645717
850	0.2842265555
851	0.2841910811
852	0.2841115092
853	0.2840000987
854	0.2838364622
855	0.2837349592
856	0.2836020862
857	0.2835284003
858	0.2834090782
859	0.2833010227
860	0.2831849812
861	0.2831024712
862	0.2830567122
863	0.2830145115
864	0.2829558454
865	0.2828471003
866	0.2828275921
867	0.2827232225
868	0.2825887706
869	0.2824677714
870	0.2823227555
871	0.2822156189
872	0.282073333
873	0.2819794036
874	0.2819175835
875	0.2817896591
876	0.2817180711
877	0.2816320937
878	0.2815030938
879	0.2814248875
880	0.2813514634
881	0.2812977042
882	0.281286668
883	0.2811348692
884	0.2810640992
885	0.281014726
886	0.2809151144
887	0.2808553928
888	0.2807826974
889	0.2806905497
890	0.2806393018
891	0.2805712378
892	0.280496356
893	0.2803866525
894	0.2803671971
895	0.2802282741
896	0.280162488
897	0.2800739772
898	0.280002826
899	0.2799591733
900	0.2798873236
901	0.2798478066
902	0.279781426
903	0.2796804805
904	0.2795349023
905	0.2794283087
906	0.2793122954
907	0.2792225905
908	0.27916975
909	0.2791261733
910	0.2789804024
911	0.2789326795
912	0.278862864
913	0.2787699186
914	0.2787158734
915	0.2786274893
916	0.278587338
917	0.2785274992
918	0.2784186276
919	0.278307345
920	0.2781787345
921	0.2780787288
922	0.2780139843
923	0.2779615486
924	0.2779376536
925	0.277834371
926	0.2777904137
927	0.2777428605
928	0.2776908277
929	0.2775927954
930	0.2774831583
931	0.2773849994
932	0.2773352619
933	0.2772611297
934	0.2771813292
935	0.277067332
936	0.27700414
937	0.2769192018
938	0.2768335465
939	0.2767336915
940	0.2766621895
941	0.2765403001
942	0.2764698607
943	0.2763331809
944	0.2761944728
945	0.2761013351
946	0.2760519578
947	0.2759243979
948	0.2759188622
949	0.275857305
950	0.2757524363
951	0.2757127399
952	0.2756537922
953	0.2755552795
954	0.275465192
955	0.2753907258
956	0.2753654871
957	0.2752918014
958	0.2752250924
959	0.2751517786
960	0.275070178
961	0.2749932344
962	0.274955626
963	0.2748965834
964	0.2748124288
965	0.2747146328
966	0.2746385307
967	0.2745896921
968	0.2744558412
969	0.2743478155
970	0.2742777035
971	0.2742064088
972	0.2740892148
973	0.274040996
974	0.2739878497
975	0.2738995002
976	0.2738014072
977	0.2736991545
978	0.273613405
979	0.2735782358
980	0.273538468
981	0.2734198264
982	0.2733237237
983	0.2732966066
984	0.2732298273
985	0.2731489714
986	0.2731125383
987	0.273015005
988	0.2729029826
989	0.272831379
990	0.2727041375
991	0.2725957677
992	0.2725066454
993	0.2724852688
994	0.2724228664
995	0.2723530452
996	0.2723003495
997	0.272224676
998	0.2721458641
999	0.2720222561
